id,original_language,popularity,release_date,title,vote_average,vote_count
560066,en,15.713,05-02-2019,Scooby-Doo! and the Curse of the 13th Ghost,8,215
43949,en,27.957,06-08-2010,Flipped,8,2371
489412,en,7.045,24-08-2012,It's Such a Beautiful Day,8,223
640,en,41.518,16-12-2002,Catch Me If You Can,8,13172
110,fr,14.929,12-05-1994,Three Colors: Red,8,1093
76203,en,24.246,18-10-2013,12 Years a Slave,8,10018
527774,en,94.437,03-03-2021,Raya and the Last Dragon,8,5717
20271,it,5.169,20-12-1961,Divorce Italian Style,8,347
775,fr,16.085,17-04-1902,A Trip to the Moon,8,1421
414419,en,22.217,27-03-2011,Kill Bill: The Whole Bloody Affair,7.9,810
15383,fr,12.078,10-09-1969,Army of Shadows,7.9,502
21334,fa,19.991,01-08-1997,Children of Heaven,7.9,482
20722,ja,9.782,10-06-2008,La Maison en Petits Cubes,7.9,377
523781,en,11.412,21-08-2020,Words on Bathroom Walls,7.9,444
3777,ja,14.135,15-01-1957,Throne of Blood,7.9,638
41050,it,8.872,24-01-1961,La Notte,8,522
585511,en,308.844,05-08-2022,Luck,7.9,952
455714,th,18.963,03-05-2017,Bad Genius,7.9,668
594634,de,25.327,10-10-2019,Close to the Horizon,7.9,410
28971,en,12.129,23-10-1952,Limelight,7.9,402
160885,it,4.907,12-05-1999,Tel chi el telùn,7.9,299
11010,it,12.047,07-04-1994,The Postman,7.9,982
5925,en,19.376,20-06-1963,The Great Escape,7.9,2085
14160,en,66.921,28-05-2009,Up,7.9,17800
745,en,32.597,06-08-1999,The Sixth Sense,7.9,9998
8290,fr,19.4,08-12-1966,Don't Look Now... We're Being Shot At!,7.9,1097
556901,en,20.421,21-07-2019,Teen Titans Go! vs. Teen Titans,7.9,395
776305,ja,70.162,16-07-2021,Belle,7.9,516
10242,en,11.863,12-10-1962,What Ever Happened to Baby Jane?,7.9,849
573164,es,43.275,12-08-2021,An Egg Rescue,7.9,324
152532,en,21.137,01-11-2013,Dallas Buyers Club,7.9,7593
17295,it,11.804,08-09-1966,The Battle of Algiers,7.9,567
33,en,23.64,07-08-1992,Unforgiven,7.9,3620
69335,pt,5.451,26-09-2007,Estômago: A Gastronomic Story,7.9,204
9323,ja,27.695,18-11-1995,Ghost in the Shell,7.9,2704
6977,en,31.879,13-06-2007,No Country for Old Men,7.9,10178
3083,en,10.179,19-10-1939,Mr. Smith Goes to Washington,7.9,838
920394,tr,14.709,21-01-2022,My Father's Violin,7.9,297
78,en,42.546,25-06-1982,Blade Runner,7.9,11947
491480,en,20.923,14-02-2019,The Boy Who Harnessed the Wind,7.9,1368
329,en,23.122,11-06-1993,Jurassic Park,7.9,14151
81,ja,27.146,11-03-1984,Nausicaä of the Valley of the Wind,7.9,2891
316029,en,33.797,20-12-2017,The Greatest Showman,7.9,8392
150540,en,128.007,09-06-2015,Inside Out,7.9,18415
31439,zh,11.988,26-05-1994,To Live,7.9,219
7857,it,8.753,18-12-1973,Amarcord,7.9,906
3034,en,20.555,15-12-1974,Young Frankenstein,7.9,2677
197,en,39.317,14-03-1995,Braveheart,7.9,8728
334533,en,18.822,08-07-2016,Captain Fantastic,7.9,5672
1646,en,23.259,05-01-2007,Freedom Writers,7.9,1883
6715,en,14.193,21-04-1995,The Cure,7.9,251
37797,ja,31.34,15-07-1995,Whisper of the Heart,7.9,1562
10728,de,7.2,13-10-1926,Faust,7.9,273
10674,en,86.147,18-06-1998,Mulan,7.9,8367
198,en,12.518,05-03-1942,To Be or Not to Be,7.9,539
588228,en,163.068,02-07-2021,The Tomorrow War,7.9,5988
24167,it,10.002,22-12-1960,Two Women,7.9,445
662,fr,11.875,16-02-1962,La Jetée,7.9,707
85,en,49.127,12-06-1981,Raiders of the Lost Ark,7.9,10506
552532,en,19.42,27-01-2020,Charm City Kings,7.9,351
522212,en,14.432,25-12-2019,Just Mercy,7.9,1825
10386,en,35.515,06-08-1999,The Iron Giant,7.9,4741
829,en,26.483,20-06-1974,Chinatown,7.9,3128
671,en,185.745,16-11-2001,Harry Potter and the Philosopher's Stone,7.9,23622
435129,en,11.136,17-11-2017,The Breadwinner,7.9,669
223,en,16.13,23-03-1940,Rebecca,7.9,1405
